Participant,participant&question,question,answer,processed_questions,processed_answers,Overall,Excited
pp16,pp16q5,Ok.,Yea.,ok.,yea.,5.437833076,4.838466127
pp16,pp16q6,Great.  And if you were given an option to change one thing about yourself what would it be?,Oh  thats a tough question.  Umm  I think sometimes i can lack a bit of confidence in bigger group settings.  Umm  and it usually takes me a little bit to get comfortable with the situation  so I think  I've definitely  and this is something i've been working on to be more proactive and in larger group situations  but for example like big lectures  asking questions or things like that I usually try and avoid  but I've been trying to push myself to become more vocal.,great. given option chang one thing would be?,oh that tough question. umm think sometim lack bit confid bigger group settings. umm usual take littl bit get comfort situat think i'v definit someth i'v work proactiv larger group situat exampl like big lectur ask question thing like usual tri avoid i'v tri push becom vocal.,5.437833076,4.838466127
pp16,pp16q7,Great.  And last question  why do you think you should get the job?,Uh  I think I should get the job because I think what my assets are I combine Econ and health  which is kind of rare to have as an undergraduate to have this combination.  And I've done  I've taken a lot of classes  I'm involved in a national development  both from the technical side of Econ  the anthropological and the health side.  And also my involvement in Glommid has also taught me a lot about the realities of international health and international development that I don't think necessarily come through a class.,great. last question think get job?,uh think get job think asset combin econ health kind rare undergradu combination. i'v done i'v taken lot class i'm involv nation develop technic side econ anthropolog health side. also involv glommid also taught lot realiti intern health intern develop think necessarili come class.,5.437833076,4.838466127
pp17,pp17q1,How have you been?,Been all right. School’s uh  you know  it’s always that time in the middle of the semester. Yeah it’s nuts.,been?,right. school’ uh know it’ alway time middl semester. yeah it’ nuts.,5.649863377,5.122305605
pp17,pp17q2,All right so can you tell me a little bit more about your background,Um yes so I am a junior here at MIT in Computer Science and Engineering um and most of my experience here has been actually at the Game Lab on campus so I’ve worked there for the past few years and I’ve worked on many different kinds of projects in various languages and with different people. Um and uh also uh I’ve taken courses here in algorithms  uh in graphics  uh also software construction. But I’ve really found algorithms to be something that I’m really interested in  I think they’re really beautiful and elegant  they can accomplish a lot. And in my spare time I like to um do yoga  I’m not very good at it  and I love food so finding hidden gems in the city is really fun.,right tell littl bit background,um ye junior mit comput scienc engin um experi actual game lab campu i’v work past year i’v work mani differ kind project variou languag differ people. um uh also uh i’v taken cours algorithm uh graphic uh also softwar construction. i’v realli found algorithm someth i’m realli interest think they’r realli beauti eleg accomplish lot. spare time like um yoga i’m good love food find hidden gem citi realli fun.,5.649863377,5.122305605
pp17,pp17q3,Great and do you think you’re a leader? Tell me why.,Uh yes I am. So um last semester here at MIT I took  as I mentioned  a software construction class and um in this class we had you know quite a few projects and some of these were group projects. So the first group project that we had in the class  um I was working with uh two of my peers. They seemed um like nice people and all but we were having issues um you know actually getting things done. Getting a time when we could all meet and um you know that sort of thing. So uh it looked like no one was really stepping up so I decided to step up and um I made sure to contact everyone in the group and um you know got us working together um and we met up. And you know I made sure that we were always on task and took notes on what we were doing um so that when it came to actually implementing our ideas that we actually had some sort of structure and our project turned out really great uh at the end. There was a bit of a time crunch but all in all I think we worked together really well and I’m very pleased with how it turned out.,great think you’r leader? tell why.,uh ye am. um last semest mit took mention softwar construct class um class know quit project group projects. first group project class um work uh two peers. seem um like nice peopl issu um know actual get thing done. get time could meet um know sort thing. uh look like one realli step decid step um made sure contact everyon group um know got us work togeth um met up. know made sure alway task took note um came actual implement idea actual sort structur project turn realli great uh end. bit time crunch think work togeth realli well i’m pleas turn out.,5.649863377,5.122305605
pp17,pp17q4,Great okay. Do you consider yourself a team player and can you give me an example where there was a conflict in your team and you had to resolve it.,I do consider myself a team player. Um worked on many teams. So in this same software construction class ironically the second group project which was our final project for the course did not go quite as planned. So I was working with two other people and uh in this case I tried to get us working together and tried to do my part for our project but uh they were not having it and um they actually ended up overwriting my code multiple times instead of you know allowing me to contribute to the project um even after I spoke to them about it and told them there were tools um that could help resolve conflicts in the code and they just weren’t cooperating. Um and so I ended up having to go talk to my TA and talking to my course administrator here and also to the student support services to see you know what  how I could resolves the situation because I had done everything that I thought I could. Um so that turned out okay at the end but sometimes things are out of your control and I think those are the hardest problems to confront but um you know uh it’s okay to ask for help sometimes I think that it ended up okay in the end.,great okay. consid team player give exampl conflict team resolv it.,consid team player. um work mani teams. softwar construct class iron second group project final project cours go quit planned. work two peopl uh case tri get us work togeth tri part project uh um actual end overwrit code multipl time instead know allow contribut project um even spoke told tool um could help resolv conflict code weren’t cooperating. um end go talk ta talk cours administr also student support servic see know could resolv situat done everyth thought could. um turn okay end sometim thing control think hardest problem confront um know uh it’ okay ask help sometim think end okay end.,5.649863377,5.122305605
pp17,pp17q5,Great. Um if you were given an option to change one thing about yourself  what would it be?,Ooh  that’s a toughie. Hmm I think  if I had one thing I could change it would probably be being more aggressive  which aggressive is a scary word perhaps so um perhaps being more assertive. I’ve always been a pretty quiet person um even when I was growing up and this is something that like in elementary school my teachers would say that  “Oh” you know on my progress reports  “[Stephie?] Is a very quiet and sweet girl” but they didn’t really have anything else to say because I was so quiet. Um and you know even now sometimes being around people can make me nervous and this is something that I’ve been working on um you know over you know since I can remember I guess. And as of late I’ve been trying to take a more active role in you know overcoming my fear of people. Uh I uh a few years ago worked at a Starbucks for about a year. Yeah back in  this was in downtown Boston in the financial district  so of all the customers you could possibly have at a Starbucks  these were the probably the most challenging ones that you could have. So after working there and dealing with these people I feel like I can pretty much you know  I can deal with anyone even if it makes me sort of nervous. Um you know I’ve been there so I can sort of take my experiences form there and apply them to what I encounter nowadays.,great. um given option chang one thing would be?,ooh that’ toughie. hmm think one thing could chang would probabl aggress aggress scari word perhap um perhap assertive. i’v alway pretti quiet person um even grow someth like elementari school teacher would say “oh” know progress report “[stephie?] quiet sweet girl” didn’t realli anyth els say quiet. um know even sometim around peopl make nervou someth i’v work um know know sinc rememb guess. late i’v tri take activ role know overcom fear people. uh uh year ago work starbuck year. yeah back downtown boston financi district custom could possibl starbuck probabl challeng one could have. work deal peopl feel like pretti much know deal anyon even make sort nervous. um know i’v sort take experi form appli encount nowadays.,5.649863377,5.122305605
pp17,pp17q6,Great okay last question. Why do you think you should get the job?,Hm  well uh I have a lot of experience uh working at the Game Lab here and that coupled with you know what I’ve learned in classes I think makes me a really good fit for this job. I have  um so when I was working at the Game Lab I worked on many  many projects so pretty much one project a semester and these projects varied widely. They were in different languages  the topics were different. Some were more technical  some weren’t’. Some were more fully specified than others. And so given that I’ve touched upon such a wide range of things  I think that I’m very adaptable. Uh and also um at this Game Lab  I’ve worked in lots of teams  so I feel like I have a strong grasp of teamwork and having worked at that Starbucks  I’ve really learned to deal with all sorts of people so I feel like that’s a good asset to have for this job.,great okay last question. think get job?,hm well uh lot experi uh work game lab coupl know i’v learn class think make realli good fit job. um work game lab work mani mani project pretti much one project semest project vari widely. differ languag topic different. technic weren’t’. fulli specifi others. given i’v touch upon wide rang thing think i’m adaptable. uh also um game lab i’v work lot team feel like strong grasp teamwork work starbuck i’v realli learn deal sort peopl feel like that’ good asset job.,5.649863377,5.122305605
pp20,pp20q1,Tell me a little more about your life.,OK  um... this is separate from the other time  right?,tell littl life.,ok um... separ time right?,3.996953668,3.697667988
pp20,pp20q2,Yes.,OK (laughs)  um  I'm a junior  um  at MIT studying environmental engineering. Um  I'm originally from Minnesota. Um  I'm taking classes this semester in hydrology and environmental transport and I found them really interesting.,yes.,ok (laughs) um i'm junior um mit studi environment engineering. um i'm origin minnesota. um i'm take class semest hydrolog environment transport found realli interesting.,3.996953668,3.697667988
pp20,pp20q3,Great,And I thought that they would apply to this job.,great,thought would appli job.,3.996953668,3.697667988
pp20,pp20q4,Mmmmhmm.,Um  yeah. (Laughs),mmmmhmm.,um yeah. (laughs),3.996953668,3.697667988
pp20,pp20q5,Great. So  do you think you're a leader? Tell me why.,Um  yeah  I think I've stepped up to a lot of leaderslip  -ship positions since I came to college. I'm president of my living group  um   I'm also on the rowing team and I feel like I've  um  played a leadership role there  um...,great. think leader? tell why.,um yeah think i'v step lot leaderslip -ship posit sinc came college. i'm presid live group um i'm also row team feel like i'v um play leadership role um...,3.996953668,3.697667988
pp20,pp20q6,OK. Could you be a little bit more specific?,Um  so  as president of my living group  um  I lead house meetings every other week,ok. could littl bit specific?,um presid live group um lead hous meet everi week,3.996953668,3.697667988
pp20,pp20q7,Oh  OK.,and I also am involved in resolving problems between people  um  so there's like several different conditions in the house which control  like  say for instance  like  buying food  or like  maintaining the house and I help coordinate everybody and make sure they can work together.,oh ok.,also involv resolv problem peopl um there' like sever differ condit hous control like say instanc like buy food like maintain hous help coordin everybodi make sure work together.,3.996953668,3.697667988
pp20,pp20q8,Right. OK. Do you consider yourself a team player?,Mmmhmm.,right. ok. consid team player?,mmmhmm.,3.996953668,3.697667988
pp20,pp20q9,And can you give me an example of a time when there was a conflict on your team and you had to resolve it?,Umm... yeah. Umm  let me think. I guess something that's come up in my living group  I was house manager last semester  and so  as part of our living group  people have to do  like  weekly house jobs...,give exampl time conflict team resolv it?,umm... yeah. umm let think. guess someth that' come live group hous manag last semest part live group peopl like weekli hous jobs...,3.996953668,3.697667988
pp20,pp20q10,Mmmhmm,So like  kind of chores  and so we've definitely had conflicts over  like  people who aren't pulling their weight in the house  and there were times I had to step in and take the person aside and let them know that they were adversely affecting the group and that there were  like  consequences if they didn't  um   end up  you know  pulling more weight  and I definitely had success with that and  um  one particular instance I talked to someone and she came back to the next house meeting and apologized to the group  and...,mmmhmm,like kind chore we'v definit conflict like peopl pull weight hous time step take person asid let know advers affect group like consequ um end know pull weight definit success um one particular instanc talk someon came back next hous meet apolog group and...,3.996953668,3.697667988
pp20,pp20q11,Oh,... definitely started to change her behavior.,oh,... definit start chang behavior.,3.996953668,3.697667988
pp20,pp20q12,Oh  that's great. Ok  so  if you were given an option to change one thing about yourself  what would it be?,Um... I don't... I don't think there's anything I would necessarily change about myself. I feel like the experiences I've had have  like  taught me different things...,oh that' great. ok given option chang one thing would be?,um... don't... think there' anyth would necessarili chang myself. feel like experi i'v like taught differ things...,3.996953668,3.697667988
pp20,pp20q13,Mmmhmm.,And  um  there's definitely things I'm working on growing in...,mmmhmm.,um there' definit thing i'm work grow in...,3.996953668,3.697667988
pp20,pp20q14,OK.,But they're things that  like  I don't think they're things I would expect to change overnight  necessarily.,ok.,they'r thing like think they'r thing would expect chang overnight necessarily.,3.996953668,3.697667988
pp20,pp20q15,Mmmhmm. Can you give me an idea of what those are?,Um  I'm working on being more outgoing  so  like I said  I've stepped up  both on the crew team and as part of my living group...,mmmhmm. give idea are?,um i'm work outgo like said i'v step crew team part live group...,3.996953668,3.697667988
pp20,pp20q16,Mmmhmm.,... into leadership roles  and so I think that's changed a lot in the last couple of years and is still changing.,mmmhmm.,... leadership role think that' chang lot last coupl year still changing.,3.996953668,3.697667988
pp20,pp20q17,Great. And... why do you think you should get this job?,Um  I think I have a lot of experience  um  with the classes I've taken and with previous internship opportunities. Um  I did an internship at an environment restoration company after my freshman year...,great. and... think get job?,um think lot experi um class i'v taken previou internship opportunities. um internship environ restor compani freshman year...,3.996953668,3.697667988
pp20,pp20q18,Mmmhmm.,..which I think helped prepare me. Um  I'm also really excited about going into this field  um  I haven't  b-  had the chance to apply the things I've learned in my classes yet and I think this would be a really good opportunity for me to apply those things  so... I think I would be able to help the company out in that way.,mmmhmm.,..which think help prepar me. um i'm also realli excit go field um b- chanc appli thing i'v learn class yet think would realli good opportun appli thing so... think would abl help compani way.,3.996953668,3.697667988
pp21,pp21q1,So uh please tell me a little more about your background.,Okay!So uh I grew up in Tampa  Florida uhm from paretns of Chinese-American decent or they're from China and I'm Chinese American and uhm thoughout my uhm high school career I actually uh taking biology classes cuz I had a really good teacher who like really made uh this subject material engaging uhm and then here in MIT I uhm I first started out as Course 20 which us uh biological engineering and then I took my first programming class and I really liked it  its like uhm I think it sort of matches uhm how I think like telling a computer how to uh do things in a precise way and so thats why I switched to uh Course 67.,uh pleas tell littl background.,okay!so uh grew tampa florida uhm paretn chinese-american decent they'r china i'm chines american uhm thoughout uhm high school career actual uh take biolog class cuz realli good teacher like realli made uh subject materi engag uhm mit uhm first start cours 20 us uh biolog engin took first program class realli like like uhm think sort match uhm think like tell comput uh thing precis way that switch uh cours 67.,5.051205708,5.019087645
pp21,pp21q2,oh ok.,hmmm mmm.,oh ok.,hmmm mmm.,5.051205708,5.019087645
pp21,pp21q3,Do you think you're a leader? Tell me why?,uhm I think that I'm a leader in the sense that like oh let's say that there's a thing that needs to get done then I will make sure that it does get done like uh for example at uh the TAC which is MIT student newspaper uhm every week uhm you have to uh of course like edit things and when the previous uhm campus life editor wanted to move on to a different department I stepped up and got it done uhm yeah.,think leader? tell why?,uhm think i'm leader sens like oh let' say there' thing need get done make sure get done like uh exampl uh tac mit student newspap uhm everi week uhm uh cours like edit thing previou uhm campu life editor want move differ depart step got done uhm yeah.,5.051205708,5.019087645
pp21,pp21q4,okay. Do you consider yourself a team player and can you give me an example of a time there was a conflict in your team and how you resolved it?,uhm so I guess when uhm I havent had a super large amount of time to uh experience doing like really large team projects I imagine I'll get more experience in that as I get into like more project based classes uhm I guess I would uh I'm okay with working with other people as long as uh there's like clear communication and like people are responsible like uhm doing the task that they're supposed to be doing. I guess I would be good working with a team other like responsible people that make sure like you're doing your portion of the job because I would want to make sure I am also doing my portion of the job and like if everybody like does their part then I think that I would be happy working with them.,okay. consid team player give exampl time conflict team resolv it?,uhm guess uhm havent super larg amount time uh experi like realli larg team project imagin i'll get experi get like project base class uhm guess would uh i'm okay work peopl long uh there' like clear commun like peopl respons like uhm task they'r suppos doing. guess would good work team like respons peopl make sure like portion job would want make sure also portion job like everybodi like part think would happi work them.,5.051205708,5.019087645
pp21,pp21q5,Good!And if you were given an option to change one thing about yourself what would it be?,hmmm well actually statistically I think that I would like to be a little but taller because actually it's true I believe that like taller people are more like uhm they get better like jobs and like they're statistically more likely to succeed just because you're more impressed by a taller person so it's like well sure why not? It would I think it would make it might have some percentage chance of making my life better. Also if I maybe there's like another second thing changing my last name to something that starts with A because thats also showing statistically increase your chances of success.,good!and given option chang one thing would be?,hmmm well actual statist think would like littl taller actual true believ like taller peopl like uhm get better like job like they'r statist like succeed impress taller person like well sure not? would think would make might percentag chanc make life better. also mayb there' like anoth second thing chang last name someth start that also show statist increas chanc success.,5.051205708,5.019087645
pp21,pp21q6,okay! And last question  why do you think you should get the job?,uhm same company okay uhm so I think I hope that uh I have so I would obviously really love working for Google and I would and uhm my skills as being responsible  communicating clearly  my uh computer science skills I learned at MIT I hope will bring uh a lot of value to this position and I also really uh would I hope to embody Google's principles of like uh making really innovative software and like to build to delivering really good customer experiences uhm and I hope that uh they will uh I hope you will also find my contributions you can find my uh contributions useful.,okay! last question think get job?,uhm compani okay uhm think hope uh would obvious realli love work googl would uhm skill respons commun clearli uh comput scienc skill learn mit hope bring uh lot valu posit also realli uh would hope embodi google' principl like uh make realli innov softwar like build deliv realli good custom experi uhm hope uh uh hope also find contribut find uh contribut useful.,5.051205708,5.019087645
pp22,pp22q1,Tell me a little bit about you  okay?,I'm a Junior in Aerospace Engineering. I'm originally from Kansas City  born in Maryland. And I'm interested in consulting because I'm currently trying to decide between going into Aerospace Engineering and going into consulting. And one of the things that appeals to me about consulting is that I like the idea of working on different projects and not being stuck doing the same thing all the time and that's something that is very prevalent in engineering and is very traditional about the engineering field. And  as far as hobbies that I enjoy I am interested in global development  international development and poverty related issues as well as music. I play cello and am involved with the chamber music society at MIT.,tell littl bit okay?,i'm junior aerospac engineering. i'm origin kansa citi born maryland. i'm interest consult i'm current tri decid go aerospac engin go consulting. one thing appeal consult like idea work differ project stuck thing time that' someth preval engin tradit engin field. far hobbi enjoy interest global develop intern develop poverti relat issu well music. play cello involv chamber music societi mit.,4.96436573,4.494770295
pp22,pp22q2,Great! So  do you think you're a leader? Tell me why.,Yes  I definitely do think I'm a leader. Um  one of the global poverty - er - one of the organizations I'm involved with on campus is the Global Poverty Initiative and I'm currently their Director of Action. And what that means is I'm leading a student group of about twenty people and - um - under the Action branch of the whole organization - and what we do is - in the Action branch - is work on projects on a global scale. So  we have projects currently in India and projects in mexico. And my job is to coordinate these projects and work on what communities we want to go work in and what types of technology related projects we'd like to pursue. And I've been involved with this organization for two and a half years now  and have been the director of Action for the past two years.,great! think leader? tell why.,ye definit think i'm leader. um one global poverti - er - one organ i'm involv campu global poverti initi i'm current director action. mean i'm lead student group twenti peopl - um - action branch whole organ - - action branch - work project global scale. project current india project mexico. job coordin project work commun want go work type technolog relat project we'd like pursue. i'v involv organ two half year director action past two years.,4.96436573,4.494770295
pp22,pp22q3,Well okay. Great! Do you consider yourself a team player  and can you give me an example of a time there was a conflict in your team and you had to resolve it?,I definitely do consider myself a team player. Um  one time that we experienced some conflict in one of the teams I was working on was actually in one of my Aerospace Engineering classes. In this team  our job was to build an RC airplane - design  build and fly it. And we hit some conflicts within our team because - it was mostly everyone was very busy  everyone was very stressed. It was towards the end of the year when everyone's preparing for finals and it was just a very high-strung environment  and the projects was very involved. It involved machining  it involved design work  and coordination between a team of four. And what ended up happening was  well  we needed to get in and find the time to actually work on our airplane and build it. Whereas all of us were involved in student groups and had a very heavy courseload. And conflict did arise. And how we ended up solving this was we - we all decided that something needed to change. And we realized that we weren't putting together quality work when we were doing two people at a time or two people coming in or someone cancelling at the last minute - things like that. We ended up just having to sit down  lay it all out  discuss whatever we needed to do to make sure that we're all here - we're all committing the right amount of time towards this project. And  honestly it was just very much a group effort and we all sat down and individually realized that we needed to prioritize. And I needed to put my classes above some of my interests and my hobbies. And that was something that we all decided to do as a group.,well okay. great! consid team player give exampl time conflict team resolv it?,definit consid team player. um one time experienc conflict one team work actual one aerospac engin classes. team job build rc airplan - design build fli it. hit conflict within team - mostli everyon busi everyon stressed. toward end year everyone' prepar final high-strung environ project involved. involv machin involv design work coordin team four. end happen well need get find time actual work airplan build it. wherea us involv student group heavi courseload. conflict arise. end solv - decid someth need change. realiz put togeth qualiti work two peopl time two peopl come someon cancel last minut - thing like that. end sit lay discuss whatev need make sure we'r - we'r commit right amount time toward project. honestli much group effort sat individu realiz need prioritize. need put class interest hobbies. someth decid group.,4.96436573,4.494770295
pp22,pp22q4,Great  okay. Um  so if you were given an option to change one thing about yourself what would it be?,One thing about myself... being more on top of my work. Something that I definitely need for myself is a deadline and I've always been like that. If you don't give me a deadline sometimes I'll end up dragging my feet  and things get done at the last minute and it's just... disorganization. And so I've been trying to deal with that by making my own small deadlines - personal deadlines - writing them down  making lists and making sure that I prioritize things in advance. But that's something that has taken me probably two years at MIT to learn how to do - and I'm finally getting it.,great okay. um given option chang one thing would be?,one thing myself... top work. someth definit need deadlin i'v alway like that. give deadlin sometim i'll end drag feet thing get done last minut just... disorganization. i'v tri deal make small deadlin - person deadlin - write make list make sure priorit thing advance. that' someth taken probabl two year mit learn - i'm final get it.,4.96436573,4.494770295
pp22,pp22q5,Good! Okay  and why do you think should get the job?,I think I should get the job because I have a very interesting background  and I believe that I have very unique experiences that could add a lot to your organization. As someone with an engineering background but - as well as a management background because I am minoring in management at MIT. And I think that combination adds a lot to the environment that you would like to have at your company. I think putting a lot of people together in one environment trying to work on the same projects with the same background is something that is very limiting. And I believe that I could add quite a bit of diversity and unique perspective to your team.,good! okay think get job?,think get job interest background believ uniqu experi could add lot organization. someon engin background - well manag background minor manag mit. think combin add lot environ would like company. think put lot peopl togeth one environ tri work project background someth limiting. believ could add quit bit divers uniqu perspect team.,4.96436573,4.494770295
pp24,pp24q1,Can you tell me a little bit more about your background?,Sure  so I'm currently a junior at MIT. I grew up outside of the city in a suburb called Naydec. I've danced my whole life and continued to do so at MIT and I'm studying biology currently and for my humanities concentration  concentrating on Spanish.,tell littl bit background?,sure i'm current junior mit. grew outsid citi suburb call naydec. i'v danc whole life continu mit i'm studi biolog current human concentr concentr spanish.,6.151381432,5.68979625
pp24,pp24q2,Oh  great! So do you think you are a leader?,I would say definitely in various aspects of my life I try to step up as a leader. I'm currently involved in an internship through HELLO at MIT and so the point of the internship is to act as a peer network engagement intern. So basically  reaching out to other Jewish students at MIT  who may not be looking for a very religious atmosphere. But would just like to know that there are other Jewish students that they could connect with. And so my role as the leader of the situation is to connect various students who have similar interests either in community service or things like that and sort of set up a network for them.,oh great! think leader?,would say definit variou aspect life tri step leader. i'm current involv internship hello mit point internship act peer network engag intern. basic reach jewish student mit may look religi atmosphere. would like know jewish student could connect with. role leader situat connect variou student similar interest either commun servic thing like sort set network them.,6.151381432,5.68979625
pp24,pp24q3,Great! So do you consider yourself a team player? And can you give me an example of a time when there was a conflict in your team and you had to resolve it?,Sure  I definitely hope that I'm a team player.,great! consid team player? give exampl time conflict team resolv it?,sure definit hope i'm team player.,6.151381432,5.68979625
pp24,pp24q4,Okay.,I think. It's definitely important to have leadership qualities but also to be able to mesh well within a group. I think this comes out a lot in lab settings where everyone from undergraduate students to PhD candidates and post Docs really have to work together on similar projects. And so being able to voice your opinions or your concerns about experiments while still taking the feedback from others  and making it more of a group effort than a hierarchy  I would say would be crucial.,okay.,think. definit import leadership qualiti also abl mesh well within group. think come lot lab set everyon undergradu student phd candid post doc realli work togeth similar projects. abl voic opinion concern experi still take feedback other make group effort hierarchi would say would crucial.,6.151381432,5.68979625
pp24,pp24q5,Okay. So if you were given an option to change one thing about yourself what would it be?,I think  if I could change one thing it would probably be to have a little bit more self confidence. I think I externally try to project a calm and outgoing personality  but inside I can tend to be a little bit shyer. And so I think just being able to walk into any kind of either social or business related situation and really have that confidence without having to second guess myself would help move along both career wise and just with relationships with other people.,okay. given option chang one thing would be?,think could chang one thing would probabl littl bit self confidence. think extern tri project calm outgo person insid tend littl bit shyer. think abl walk kind either social busi relat situat realli confid without second guess would help move along career wise relationship people.,6.151381432,5.68979625
pp24,pp24q6,And last question. Why do you think you should get the job?,I think coming with a background from MIT would definitely help me out in this job. The biology department at MIT is really unique in its focus on research. And so I think coming into this lab setting with that background would make a strong candidate.,last question. think get job?,think come background mit would definit help job. biolog depart mit realli uniqu focu research. think come lab set background would make strong candidate.,6.151381432,5.68979625
pp25,pp25q1,How are you doing today?,I'm good  how are you?,today?,i'm good you?,5.022669773,5.078528199
pp25,pp25q2,Good! Can you tell me some more about your background?,Um  yeah. I am  wait sorry  am I .. Ok  um I'm Kathleen  I'm a Core 16 major here at MITU  that's um aeronautical and astronautical engineering  if you're not familiar with our numbering system. Um  so I've been taking a lot of classes in aeronautical and astronautical engineering. Including some um propulsion classes  um uh principals of automatic control  um dynamics  aerodynamics  um computer engineering  so I am familiar with job and mat lab  Um  and then also within those classes I've done some lab work. Um  including work on um a remote control airplane. Um  which we did for a competition last spring. Um  it was in teams of three. Um  my team  and the the goal is to maximize the ratio of the um the turn rate times the pay turn rate squared times the pay load.,good! tell background?,um yeah. wait sorri .. ok um i'm kathleen i'm core 16 major mitu that' um aeronaut astronaut engin familiar number system. um i'v take lot class aeronaut astronaut engineering. includ um propuls class um uh princip automat control um dynam aerodynam um comput engin familiar job mat lab um also within class i'v done lab work. um includ work um remot control airplane. um competit last spring. um team three. um team goal maxim ratio um turn rate time pay turn rate squar time pay load.,5.022669773,5.078528199
pp25,pp25q3,Mmm Hmm,Um  my team worked really hard on that um and uh we ended up coming in second  um.,mmm hmm,um team work realli hard um uh end come second um.,5.022669773,5.078528199
pp25,pp25q4,That's great.,Which was exciting  a little bit disappointing but [laughter] still it was still a really fun project that we worked on. Um  and then also done internships with  um my most recent one was with NASA Glenn Research Center  um and I worked on two projects for that. Um  one was a Venus rover conceptual design. Um  which was where we were trying to basically just figure out what the fees-ability would be for a small low cost rover on Venus  um that would be able to fit within the budget of a discovery class mission. Um  and then  so that one was mostly  um there was a lot of research  a lot of um  pulling the other information from different areas  kind of because it's not really a thing that people have looked at very closely before. There's not a lot of information on the topic of how things perform in uh 450 degrees C in 90 atmospheres of pressure. It's kind of a specific thing.,that' great.,excit littl bit disappoint [laughter] still still realli fun project work on. um also done internship um recent one nasa glenn research center um work two project that. um one venu rover conceptu design. um tri basic figur fees-abl would small low cost rover venu um would abl fit within budget discoveri class mission. um one mostli um lot research lot um pull inform differ area kind realli thing peopl look close before. there' lot inform topic thing perform uh 450 degre c 90 atmospher pressure. kind specif thing.,5.022669773,5.078528199
pp25,pp25q5,Mmm hmm,Um  so it was um a lot of just like trying to figure out  like what would work  what wouldn't work. Um  a lot of flexibility in the designs since it was in early stages  um and a lot of  um there's some  some mat lab you know and analysis and um coding involved with that to. Um  then the second project that we worked on for that internship was um an autonomous navigation system for small payloads um and that was an intern team project. There was totally designed and run by me and a group of seven other interns. Um  so that was outside of work hours. We were putting together  um it was uh steerable [inaudible] parachute.,mmm hmm,um um lot like tri figur like would work work. um lot flexibl design sinc earli stage um lot um there' mat lab know analysi um code involv to. um second project work internship um autonom navig system small payload um intern team project. total design run group seven interns. um outsid work hours. put togeth um uh steerabl [inaudible] parachute.,5.022669773,5.078528199
pp25,pp25q6,Mmm hmm,Um  attached to a payload of about two or three pounds  um and I was in charge of testing and designing the  the parachute for that  um so that was  that was the second main project that we worked on.,mmm hmm,um attach payload two three pound um charg test design parachut um second main project work on.,5.022669773,5.078528199
pp25,pp25q7,That's great. Alright. You think you're a leader?  Tell me why.,Um  yes I do think I'm a leader.,that' great. alright. think leader? tell why.,um ye think i'm leader.,5.022669773,5.078528199
pp25,pp25q8,Good.,Um  and I think that I've shown that through my work on my projects. Um  being willing to  to make decisions  take chances with something um that may or may not work  but it's wi ...  it's important to be able to try things to figure out if that's gonna be the case or not.,good.,um think i'v shown work projects. um will make decis take chanc someth um may may work wi ... import abl tri thing figur that' gonna case not.,5.022669773,5.078528199
pp25,pp25q9,Mmm hmm,Um and I think that  uh especially like in the  the Venus rover and um also with the dropson project  um since those were two projects where there weren't a lot of uh specific design constraints imposed on us from the start,mmm hmm,um think uh especi like venu rover um also dropson project um sinc two project lot uh specif design constraint impos us start,5.022669773,5.078528199
pp25,pp25q10,Mmm hmm,It was really important to just  um to just take an idea and run with it. Run the equations  um drop it off a building  in the case of the dropson  [laughter] um and just see what happened  um.,mmm hmm,realli import um take idea run it. run equat um drop build case dropson [laughter] um see happen um.,5.022669773,5.078528199
pp25,pp25q11,Ok.,So that was something that I got to be pretty comfortable with doing.,ok.,someth got pretti comfort doing.,5.022669773,5.078528199
pp25,pp25q12,Great. Do you consider yourself a team player? Can you give me an example where you had a conflict in your team and you had to resolve it?,Uh  yes and yes. [laughter] Um  I need a  so especially with the intern team project  when there were eight of us involved in this team  um and that was a kind of unique experience in that there was really no like hierarchy of um control or anything it was just eight interns and we were all on equal footing. All had pretty equal experience and backgrounds  um so there wasn't really anyone who was specifically in charge of that project  um and that involved a lot of give and take. Um and so  I think one of the biggest uh conflicts we faced as a team was when we were just deciding  at the very beginning what our project was going to be.,great. consid team player? give exampl conflict team resolv it?,uh ye yes. [laughter] um need especi intern team project eight us involv team um kind uniqu experi realli like hierarchi um control anyth eight intern equal footing. pretti equal experi background um realli anyon specif charg project um involv lot give take. um think one biggest uh conflict face team decid begin project go be.,5.022669773,5.078528199
pp25,pp25q13,Mmm hmm,Um and this was going to be something that was gonna uh be a pretty significant part of the next ten weeks of our summer. So it was pretty important for us to choose something that was gonna  was gonna go well. Um  so the it ended up being a uh fairly difficult decision between the uh a design project for uh a small re-entry vehicle versus the autonomous navigation system that we did. Um  and how we handled it um was we just kind of  we all came together and had um a round table sort of a discussion. Um  we implemented hand raising uh rules,mmm hmm,um go someth gonna uh pretti signific part next ten week summer. pretti import us choos someth gonna gonna go well. um end uh fairli difficult decis uh design project uh small re-entri vehicl versu autonom navig system did. um handl um kind came togeth um round tabl sort discussion. um implement hand rais uh rule,5.022669773,5.078528199
pp25,pp25q14,Mmm hmm,and um so as to make sure that people had equal talking time. Um  and then we  after we had talked for several hours  um making sure that most of the important things that needed to be said would get said,mmm hmm,um make sure peopl equal talk time. um talk sever hour um make sure import thing need said would get said,5.022669773,5.078528199
